latitude,longitude,depth,datetime,value,parametername,dataprovider,datasettitle,stationname,valuesign
51.08771515,4.17436314,-1.60000002,2011-09-01T07:14:11,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-1.24000001,2011-09-01T07:04:53,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-3.20000005,2011-09-01T07:04:53,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,3.31999993,2011-09-01T07:14:11,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,1.36000001,2011-09-01T07:14:11,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-0.61000001,2011-09-01T07:14:11,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-2.57999992,2011-09-01T07:14:11,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,4.3499999,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,2.4000001,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,0.43000001,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-1.53999996,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,3.38000011,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,1.41999996,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-0.55000001,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-2.51999998,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,4.86999989,2011-09-01T07:35:59,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,2.93000007,2011-09-01T07:35:59,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,4.82999992,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,2.8900001,2011-09-01T07:24:49,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
